type,name,namespace,threat_type,description,legitimate_package
nuget,g4.extensions,,false_positive,"Possible typosquat of cg4.extensions Explanation: The name g4.extensions is only one character off from the known cg4.extensions package and could easily be mistyped or visually confused (is_adversarial_name=true). There is no indication that this is an official fork or variant—no user/org prefix referencing cg4 and no fork language in the metadata (is_fork=false). Both packages provide generic extension methods for collections and dictionaries, with no clear distinct feature set (has_distinct_purpose=false). There is no mention of testing features (is_test=false). The maintainer gravity.customer-services is not a recognized or reputable owner in the NuGet ecosystem (is_known_maintainer=false). The package lacks any README or documentation (no_readme=true). Given the low edit distance, matching functionality, generic maintainer, and absence of documentation, this appears designed to confuse users rather than serve a clear purpose (has_suspicious_intent=true). There is no evidence that this is a relocated or renamed official package (is_relocated_package=false). Risk level: Medium.",cg4.extensions
npm,bnppf-font-icons,,false_positive,Possible typosquat of unplugin-icons,unplugin-icons
npm,secretai,,false_positive,"Possible `1-step D-L dist` typosquat of secretjs Explanation: The package name 'secretai' is similar to 'secretjs' with a 1-step Levenshtein distance, indicating it could be an intentional mimic. The purpose of 'secretai' is distinct as it focuses on AI models, while 'secretjs' is for the Secret Network SDK. The maintainers are known, which reduces suspicion, but the similarity in names and the potential for user confusion makes 'secretai' suspicious.",secretjs
pypi,ragclip,,false_positive,"Possible `1-step D-L dist` typosquat of rf-clip Explanation: The package name 'ragclip' is very similar to 'rf-clip' (with only minor modifications such as the removal of the hyphen and a change in one letter), which indicates that it could be intentionally mimicking the legitimate package. Given that there is no indication of a fork (no clear user prefix/suffix) and that they belong to the same PyPI ecosystem, the similarity in names is likely to confuse users. Furthermore, the description of 'ragclip' is minimal and does not establish a distinct, different purpose, thereby suggesting it might be an impersonation of 'rf-clip'. The maintainers of 'ragclip' are recognized in the community, but the naming strategy still raises suspicion of adversarial mimicry. Finally, since a README or proper package documentation appears to be present (as evidenced by the given description), no_readme is set to false. Risk level: High).",rf-clip
npm,eslint-config-delfi,,false_positive,Possible undefined typosquat of eslint-config-next,eslint-config-next
npm,packager,@electron,false_positive,Possible scope confusion typosquat of electron-packager,electron-packager
npm,utils,@csqcsq,false_positive,Possible typosquat of utils,utils
pypi,steamcom,,false_positive,"Possible `simplification` typosquat of steam Explanation: The package name 'steamcom' is very similar to the legitimate 'steam' (only an extra 'com' is added) which can confuse users, making it an adversarial name. Its functionality, as described, closely mimics that of the legitimate 'steam' package (both deal with Steam-related API functions) so it does not have a distinct purpose. There is no user or organization name inserted to clearly mark it as a fork, and while its maintainer ('LinarSharifullin') is not known from the legitimate package's circle, the overall design appears to imitate the original. Additionally, since the description is very similar and leverages code from the original without clear differentiation, it is marked as having suspicious intent. The package does have a README, and there is no relocation involved. Risk level: High).",steam
npm,rjq-api-koa,,false_positive,"Possible typosquat of koa Explanation: The package name 'rjq-api-koa' is similar to 'koa' but adds a prefix that could confuse users, indicating it may be an intentional mimic. The description suggests it is middleware for 'rjq-api', which implies a distinct purpose from 'koa'. The maintainers are known in the community, which reduces suspicion, but the name and purpose still raise concerns about potential typosquatting.",koa
npm,core,@event-calendar,false_positive,Possible typosquat of @fullcalendar/core,@fullcalendar/core
npm,eslint-plugin-noaaa,,false_positive,Possible typosquat of eslint-plugin-node,eslint-plugin-node
npm,branch-body-web3-feel,,false_positive,"Possible typosquat of rich-road-web3-fellow Explanation: The names 'branch-body-web3-feel' and 'rich-road-web3-fellow' share a similar structural pattern with the common 'web3' component and similar hyphenation. The minor substitutions in words (branch-body vs rich-road and feel vs fellow) indicate possible adversarial intent to mimic the legitimate package. There is no indication that branch-body-web3-feel is a fork (it does not include a username or obvious user-specific prefix/suffix) and its purpose does not appear distinct from the legitimate package. The maintainers are known, and the package has a minimal README, but the overall name similarity and slight modifications point toward suspicious intent. Therefore, while the maintainer aspect and existence of a README suggest some legitimacy, the naming pattern raises suspicion, leading to a conclusion of non-obvious-not-typosquat (i.e., it is suspicious), adversarial naming, and lack of distinct purpose. Risk level: High).",rich-road-web3-fellow
npm,vec2d,,false_positive,"Possible `1-step D-L dist` typosquat of vec2 Explanation: The name ‘vec2d’ differs by only one character from ‘vec2’, creating a high risk of user confusion. Both packages provide nearly identical 2D vector math functionality, with no indication that vec2d is an official fork or a distinct-purpose library. The maintainer ‘superjoe’ is not recognized, and while documentation exists, the package appears positioned to impersonate the established ‘vec2’ library rather than offer new features, indicating a likely typosquat. Risk level: High.",vec2
npm,axios,@beneway,false_positive,Possible typosquat of axios,axios
npm,types,@mdxdb,false_positive,"Possible `scope confusion` typosquat of types Explanation: The package '@mdxdb/types' has a namespace that does not clearly indicate a known organization or user, and both packages lack descriptions. The namespace '@mdxdb' does not provide enough context to determine legitimacy, making it potentially suspicious.",types
npm,express-async-context,,false_positive,"Possible typosquat of express-http-context Explanation: The two package names, express-async-context and express-http-context, are extremely similar with only one token difference ('async' versus 'http'). This close similarity is likely to confuse users and is therefore considered an adversarial naming strategy (is_adversarial_name=true). The similarity in names combined with nearly overlapping functionality—both aiming to provide a context mechanism for Express—means that express-async-context does not have a clearly distinct purpose from express-http-context (has_distinct_purpose=false). It is not considered a fork because there is no username or indication that it is an official fork (is_fork=false), and it is not a test package (is_test=false). The presence of a README and detailed metadata rules out the no_readme flag (no_readme=false). Despite the legitimate maintainer, the intentional mimicry of naming and similar functionality suggest suspicious intent (has_suspicious_intent=true), and there is no indication that this is a relocated package (is_relocated_package=false). Risk level: High).",express-http-context
npm,lk-collection,,false_positive,"Possible `1-step D-L dist` typosquat of d3-collection Explanation: The package name 'lk-collection' is similar to 'd3-collection' with a 1-step Levenshtein distance, indicating it could deceive users. The purpose of 'lk-collection' is distinct from 'd3-collection', focusing on a specific stack (Lambda, Kinesis + MongoDB), which further supports the suspicion. The maintainer is known, but the name similarity and distinct purpose raise concerns about potential typosquatting.",d3-collection
npm,react,@assistant-ui,false_positive,"Possible typosquat of semantic-ui-react Explanation: The package '@assistant-ui/react' has no README data, which is abnormal. The namespace '@assistant-ui' does not clearly indicate a known organization or user, and the maintainer 'yonom' is not recognized as a legitimate maintainer in the npm community. The name '@assistant-ui/react' could potentially confuse users looking for 'semantic-ui-react', making it suspicious.",semantic-ui-react
npm,brotli-compress-wasm,,false_positive,"Possible typosquat of brotli-wasm Explanation: The package name 'brotli-compress-wasm' builds on the legitimate 'brotli-wasm' by inserting an extra term ('compress'), which is a form of compound squatting. Despite the edit distance being 9, the identical 'brotli' prefix and 'wasm' suffix make it potentially confusing. The guidelines indicate that such minor yet compound modifications are typical of adversarial names. In addition, the metadata is very similar and although the maintainers are provided (['eolme']), there is no evidence that they are associated with the original project. The purpose and description do not show distinct or significantly differentiated functionality, and the naming mimics the original enough to be misleading. Hence, it is marked as a typosquat with suspicious intent and considered an obvious fork rather than a package with a distinct purpose. Risk level: High).",brotli-wasm
npm,geniusdevs-types,,false_positive,"Possible typosquat of @medusajs/types Explanation: The package 'geniusdevs-types' and the legitimate '@medusajs/types' share the common '-types' suffix, which could confuse users, especially given the similar naming pattern. The similarity in the package name is enough to be considered adversarial, as it appears to be mimicking '@medusajs/types'. However, 'geniusdevs-types' does not include a clear username indication intended for forking (such as an '@username/' scope or explicit username in the package name), so it is not clearly a fork. There is also no evidence that the package serves a distinct purpose—it appears to be an impersonation rather than an innovative or alternative implementation. Additionally, the lack of a README and the unclear description raise suspicions about its intent. The maintainers list ('bartuss21') is present, which normally would be a point toward legitimacy, but does not offset the other issues. Therefore, the combined analysis indicates that the package is suspicious and potentially a typosquat, although not an obvious non-typosquat. Risk level: High).",@medusajs/types
npm,ivideo-react,,false_positive,"Possible `simplification` typosquat of video-react Explanation: The package name 'ivideo-react' is very similar to 'video-react', with only an 'i' added at the beginning, which is a common pattern in typosquatting. The description and usage examples are similar, suggesting it might be trying to mimic or capitalize on the popularity of 'video-react'. The maintainer 'zpkweb' is not a widely recognized name in the npm community, adding to the suspicion.",video-react
npm,eslint-plugin-redux,,false_positive,Possible typosquat of eslint-plugin-es-x,eslint-plugin-es-x
npm,safe-typed-storage,,false_positive,"Possible typosquat of @jill64/typed-storage Explanation: The package name 'safe-typed-storage' is extremely similar to '@jill64/typed-storage' with only a benign prefix change ('safe-') which could deceive users seeking the original package. The similarity in functionality and nearly identical descriptions suggest an impersonation intent rather than a fork with clear attribution. Additionally, the lack of username in the package name and the different maintainer ('ebeloded' instead of '@jill64') further raise suspicion. The readme is present; however, the overall evidence from the package name and metadata suggest potential typosquat behavior. Risk level: High).",@jill64/typed-storage
npm,string.prototype.at,@nolyfill,false_positive,Possible typosquat of string.prototype.at,string.prototype.at
npm,due-engineer-being4,,false_positive,"Possible typosquat of engine-base Explanation: The package name 'due-engineer-being4' shares the common element 'engine' with 'engine-base', but the additional segments ('due', 'being4' vs 'base') represent a reordering and augmentation that can confuse users. This qualifies it as an adversarial name. There is no clear username in the name which would indicate a fork, yet the minimal README and lack of detailed description raise suspicion of intent to impersonate the legitimate 'engine-base', resulting in a non-distinct purpose. Additionally, the maintainer of 'due-engineer-being4' ('gordera') does not match the known maintainer of 'engine-base', and minimal metadata contributes to suspicious intent. Hence, the metrics indicate that it is not obviously not a typosquat (obvious_not_typosquat = false) and has signs of being maliciously intended. Risk level: High).",engine-base
npm,protoc-gen-ts,,false_positive,"Possible typosquat of ts-protoc-gen Explanation: The target name ‘protoc-gen-ts’ simply reorders the tokens in ‘ts-protoc-gen’, making it very easy to confuse the two (is_adversarial_name=true). Both packages compile .proto files to TypeScript with near-identical functionality, so there is no distinct purpose (has_distinct_purpose=false). There is no username/org prefix or explicit fork note, so it isn’t a recognized fork (is_fork=false). Neither name nor description indicates a testing utility (is_test=false). The maintainer ‘thesayyn’ has no known reputation in this ecosystem (is_known_maintainer=false), and the package includes a full README (no_readme=false). There are no clear signs of malicious code or deceptive metadata beyond the name confusion (has_suspicious_intent=false). This is not a documented relocation of the official package (is_relocated_package=false). Because of the low edit distance and identical scope of functionality, this is likely an intentional typosquat rather than an obvious benign variant (obvious_not_typosquat=false). Risk level: Medium.",ts-protoc-gen
huggingface,EleuterAI/gpt-j-6B,,false_positive,Possible typosquat of EleutherAI/gpt-j-6b,EleutherAI/gpt-j-6b
npm,js-data-structures,,false_positive,"Possible typosquat of data-structure-typed Explanation: Both package names address collections of data structure implementations and the names only differ with a minor twist – one uses a 'js-' prefix and a plural form while the other appends '-typed'. This small change is enough to potentially deceive users searching for the legitimate data structure package, and it fits within common adversarial squatting tactics such as prefix/suffix augmentation. Furthermore, there is no indication that js-data-structures is a fork (no username marker in the name) and its functionality seems to overlap heavily with data-structure-typed, so their distinct purpose is unlikely. The maintainer for js-data-structures ('tyriar') is a recognized npm contributor, but the similarity in naming and overlapping metadata make the package suspicious in intent. The package includes a readme so no_readme is false and no relocation is involved. Risk level: High).",data-structure-typed
npm,object.values,@nolyfill,false_positive,Possible typosquat of object.values,object.values
npm,eslint-config-nando,,false_positive,Possible typosquat of eslint-config-turbo,eslint-config-turbo
npm,array.prototype.tosorted,@nolyfill,false_positive,Possible typosquat of array.prototype.tosorted,array.prototype.tosorted
pypi,scipy-doctest,,false_positive,"Possible typosquat of xdoctest Explanation: The name 'scipy-doctest' is purposefully similar to 'xdoctest' in that it retains the core 'doctest' element while appending the prefix 'scipy'. This kind of prefix augmentation can deceive users into thinking that it is related to or endorsed by the original or well‐known library, which is a common adversarial tactic. There is no indication from the package naming (i.e. no username or explicit fork marker) that suggests it is merely a legitimate fork. In addition, both packages target the use case of extending or running doctests, so they do not have a clearly distinct purpose. The package is clearly meant for testing (providing enhanced doctest capabilities). While the package maintainers appear to be legitimate (with a listed maintainer 'ev-br') and the package has proper documentation (README present), the combination of the adversarial naming approach and the overlapping functionality creates confusion. Given these factors, the metrics indicate that ‘scipy-doctest’ should be considered suspicious with intentional mimicry of ‘xdoctest’. Risk level: High).",xdoctest
npm,project-x-ui,,false_positive,"Possible typosquat of p3x-redis-ui Explanation: The package 'project-x-ui' has no README data, which is abnormal and makes it difficult to determine its purpose. The name 'project-x-ui' is substantially different from 'p3x-redis-ui', but the lack of description and the fact that it is maintained by an unknown maintainer ('piliponful') raises suspicion. Without more information, it is difficult to rule out the possibility of it being a typosquat.",p3x-redis-ui
golang,github.com/go-zoox/errors,,false_positive,"Possible typosquat of github.com/go-errors/errors Explanation: The package name 'github.com/go-zoox/errors' is very similar to 'github.com/go-errors/errors' with an edit distance of 5, which is within the range of minor character changes that can confuse users. The use of the 'go-zoox' namespace appears to mimic the well‐known 'go-errors' but belongs to a different organization, fulfilling criteria for scope confusion and adversarial naming. Moreover, the fact that it appears as a fork (as indicated by its name) without clear evidence of a distinct purpose raises additional suspicion. The absence of a proper description or README reinforces doubts, and having a different maintainer ('go-zoox') from the legitimate package further detracts from its legitimacy. Taken together, these factors indicate potential typosquatting with malicious intent. Risk level: High).",github.com/go-errors/errors
npm,bleujs,,false_positive,"Possible typosquat of bellajs Explanation: The package 'bleujs' has a name that is similar to 'bellajs', with only a few character changes, which could confuse users. Additionally, the description of 'bleujs' is abnormal, consisting of SVG data, which is not typical for a package description. This raises suspicion about its legitimacy.",bellajs
npm,utils,@realpay,false_positive,"Possible scope confusion typosquat of utils - Explanation: The package '@realpay/utils' lacks a description and uses a namespace that could mimic an organization, which makes it potentially suspicious. The maintainer 'hayitbek' is not recognized as a known maintainer in the npm community, and the lack of README data further adds to the suspicion.",utils
npm,icons,@ws-ui,false_positive,Possible typosquat of @material-ui/icons,@material-ui/icons
npm,utils,@gmana,false_positive,Possible typosquat of @mantine/utils,@mantine/utils
pypi,lara-mg,,false_positive,"This package is mostly empty from 2019, with no recent updates. It does not mimic the 'hana-ml' package beyond substituting l for h, r for n, and g for l in the package name. There is no readme nor project description, and it contains no executable code.",
npm,tooltip,@calm-ui,false_positive,Possible typosquat of @chakra-ui/tooltip,@chakra-ui/tooltip
npm,shopify-cli,,false_positive,Possible typosquat of @shopify/cli,@shopify/cli
gem,carmen,,false_positive,"Possible typosquat of carmine Explanation: 1. obvious_not_typosquat: FALSE – 'carmen' and 'carmine' differ by only one letter, making confusion likely. 2. is_adversarial_name: TRUE – very low edit distance (one character insertion/removal) creates high typo risk. 3. is_fork: FALSE – no username/org prefix or fork indicator in name or metadata. 4. has_distinct_purpose: FALSE – no description or README to suggest a unique use case; appears identical or placeholder. 5. is_test: FALSE – name and metadata do not reference testing. 6. is_known_maintainer: FALSE – Jim Benton is not a recognized or notable maintainer in the Ruby community. 7. no_readme: TRUE – absence of any README or documentation. 8. has_suspicious_intent: TRUE – lack of docs, minimal metadata, and name similarity suggest potential typosquatting. 9. is_relocated_package: FALSE – no indication of official relocation or deprecation notice. Risk level: High.",carmine
npm,samaneha-ui,@dpfs,false_positive,Possible typosquat of smarthr-ui,smarthr-ui
npm,nathan_utils,,false_positive,Possible typosquat of utils,utils
npm,fameex-test,,false_positive,"Possible `simplification` typosquat of test Explanation: The package name 'fameex-test' uses a prefix augmentation on a common package name 'test' and meets several adversarial criteria, even though the edit distance is relatively high. The use of a prefix that could be easily mistaken for an official or related project, coupled with its description 'security holding package', suggests an intent to deceive and mislead users by mimicking the well-known 'test' package. There are no known legitimate maintainers, and instead of serving a distinct purpose, it appears to be a fork intended to confuse. For these reasons, the package should be considered as having suspicious intent and an adversarial name. Risk level: High).",test
npm,eslint-config-base,@fishbrain,false_positive,Possible typosquat of @spotify/eslint-config-base,@spotify/eslint-config-base
npm,vemp-lib,,false_positive,"Possible simplification typosquat of lib - Explanation: The package name 'vemp-lib' is similar to 'lib' with an added prefix, which could be misleading. The description of 'vemp-lib' is vague and does not provide enough information to determine its purpose or distinguish it from 'lib'. The maintainer 'nielvid' is not recognized as a known maintainer in the npm community, increasing suspicion. Without more context or a clear namespace, it appears potentially suspicious.",lib
npm,etherdata-react-ui,,false_positive,"Possible typosquat of @skbkontur/react-ui Explanation: The package name 'etherdata-react-ui' shares the key component 'react-ui' with the legitimate '@skbkontur/react-ui', causing potential confusion among users, especially given the similar target functionality (UI components). The use of a different prefix ('etherdata' versus 'skbkontur') appears adversarial, as it does not represent a clear fork (no user name attached in a fork manner) and the overall intent seems to mimic the legitimate package. The description of etherdata-react-ui, while basic and generated from a common library template, closely aligns with UI components functionality. With a non-native maintainer ('sirily11') and no added distinct purpose, the similarity in name combined with the mirrored use-cases makes it suspicious. Additionally, the README is present, so no_readme is flagged as false. Risk level: High).",@skbkontur/react-ui
npm,utils,@birman,false_positive,Possible typosquat of utils,utils
npm,arr-union,,false_positive,Possible typosquat of array-union,array-union
npm,deep-equal,@wareset,false_positive,Possible typosquat of @nolyfill/deep-equal,@nolyfill/deep-equal
npm,react-devtools-inline,@types,false_positive,"Possible `scope confusion` typosquat of react-devtools-inline Explanation: The package '@types/react-devtools-inline' is very similar to the legitimate 'react-devtools-inline' by simply adding the '@types' scope, which can mimic or impersonate the original package. This is a typical pattern seen in intentional typosquatting attempts, particularly since '@types' packages are usually reserved for type definitions and may confuse users expecting the original package. The metadata provided (description rendered as [object Object]) suggests a lack of proper documentation or a possible placeholder, which increases suspicion, and the package appears to be a fork given the naming. Additionally, the maintainers being just ['types'] does not inspire confidence as from the original legitimate package. All these factors contribute to the determination that this may be an adversarial package. Risk level: High).",react-devtools-inline
npm,eslint-config,@aaos,false_positive,Possible typosquat of eslint-config,eslint-config
npm,eslint-config-acw-base,,false_positive,Possible typosquat of eslint-config-airbnb-base,eslint-config-airbnb-base
pypi,sagemath-categories,,false_positive,"Possible `prefix/ suffix augmentation` typosquat of passagemath-categories Explanation: The package names 'sagemath-categories' and 'passagemath-categories' are very similar, with 'sagemath' being a substring of 'passagemath'. The descriptions are also very similar, both referring to SageMath and its components. This suggests that 'sagemath-categories' could be a typosquat of 'passagemath-categories'.",passagemath-categories
npm,core,@batiq,false_positive,Possible typosquat of @mantine/core,@mantine/core
pypi,safe-logger,,false_positive,"Possible `simplification` typosquat of logger Explanation: The package name 'safe-logger' is a minor augmentation of 'logger' with the prefix 'safe-', which qualifies as an adversarial name modification since it can potentially confuse users into thinking it is either a trusted version or related to the original package. There is no indication that the addition of 'safe-' is a fork indication since no user name is appended. Although 'safe-logger' mentions a specific functionality (Safe TimedRotatingFileHandler for concurrent writers) and 'logger' is a generic logging helper, the similarity in names coupled with the overlapping logging domain suggests that they are not serving a clearly distinct purpose. The maintainers of 'safe-logger' (['cybergrind', 'ZAN']) are seen as legitimate, and there is a proper description/README for the package. Despite that, the intentional mimicry in naming and near-identical purpose raise suspicion of intent to mislead, hence 'has_suspicious_intent' is marked as true. Risk level: High).",logger
npm,popover,@bwsoft,false_positive,"Possible `scope confusion` typosquat of popover Explanation: The scoped package @bwsoft/popover closely mimics the legitimate popover package name, risking user confusion. There is no README or documentation, the maintainer 'bwsoft' is not a recognized author of the original, and no distinct purpose or fork indication is provided. These factors suggest a likely typosquat or malicious impersonation rather than a benign alternative or relocation. Risk level: High.",popover
npm,json-schema-ref-parser,@bcherny,false_positive,Possible typosquat of json-schema-ref-parser,json-schema-ref-parser
npm,bitfinex-dev,,false_positive,"Possible typosquat of @formkit/dev Explanation: The package 'bitfinex-dev' deliberately mirrors the structure of the legitimate '@formkit/dev' package by incorporating the '-dev' suffix, even though the edit distance is relatively high (9). This mimicry, combined with a suspicious description ('security holding package') that hints at malicious intent, raises red flags. The namespace difference (no scope for bitfinex-dev compared to '@formkit' for the legitimate package) further contributes to potential scope confusion. Additionally, the lack of known maintainers and the suspicious description support the conclusion that 'bitfinex-dev' is an adversarial mimic and an obvious fork, not a genuinely distinct package. Risk level: High).",@formkit/dev
npm,banner,@saruni-ui,false_positive,Possible typosquat of @leafygreen-ui/banner,@leafygreen-ui/banner
npm,eslint-plugin-styles,,false_positive,Possible typosquat of eslint-plugin-es,eslint-plugin-es
npm,npm-pack,,false_positive,"Possible `1-step D-L dist` typosquat of npm-path Explanation: The package name 'npm-pack' is only one character different from 'npm-path' making it very similar and capable of deceiving users, hence it is not obviously not a typosquat (obvious_not_typosquat = false) and qualifies as an adversarial name (is_adversarial_name = true). There is no username or affiliation in the name to indicate that it is a fork (is_fork = false). Given that the legitimate package 'npm-path' clearly serves the purpose of providing a PATH for npm executables and 'npm-pack' shows no distinct features (and even shares a very similar name), it lacks a distinct purpose (has_distinct_purpose = false). The package does not indicate it is meant for testing (is_test = false), and its maintainer 'zkat' is recognized in the npm community (is_known_maintainer = true). However, the absence of a README (no_readme = true) and a vague description ('test') contribute to suspicious intent (has_suspicious_intent = true). There is no known relocation between these packages (is_relocated_package = false). Risk level: High).",npm-path
