type,name,namespace,threat_type,description,legitimate_package
gem,jekyll-theme-minimalist,,typosquat,Possible typosquat of jekyll-theme-minimalistic,jekyll-theme-minimalistic
gem,json_schema,,false_positive,Possible typosquat of json-schema,json-schema
gem,mizuno,,false_positive,"Possible typosquat of mizuho Explanation: The names differ by only a single character (h → n), creating high confusion potential. Neither package has a README or description to clarify purpose, and the maintainer is not recognized. There is no indication of a legitimate fork or distinct feature set, and no testing focus. The minimal metadata and close name similarity suggest possible typosquatting rather than a benign or relocated package. Risk level: High.",mizuho
gem,monetize,,false_positive,"Possible typosquat of magnetize Explanation: • obvious_not_typosquat: FALSE because “monetize” and “magnetize” differ by only two edits (removal of ‘g’ and vowel change), creating high confusion risk. • is_adversarial_name: TRUE as the names are visually and phonetically similar with only a single-character insertion/deletion distinguishing them. • is_fork: FALSE—there is no organization prefix/suffix or explicit fork indication in the name or metadata. • has_distinct_purpose: FALSE—neither package provides a description or README, so there’s no evidence of genuinely different functionality. • is_test: FALSE—the name and absence of any description do not indicate testing utilities. • is_known_maintainer: FALSE—the listed maintainers (Shane Emmons, Anthony Dmitriyev) are not recognizable as established Ruby ecosystem figures and there’s no supporting reputation data. • no_readme: TRUE—lack of README/documentation heightens risk and reduces transparency. • has_suspicious_intent: TRUE—the combination of a near-identical name, no documentation, unknown maintainers, and empty metadata suggests a high potential for user confusion or malicious use. • is_relocated_package: FALSE—no indication of a legitimate ecosystem relocation or rename process. Risk level: High.",magnetize
gem,pry-multi_debugger,,false_positive,"Possible typosquat of pry-debugger Explanation: The package names 'pry-multi_debugger' and 'pry-debugger' are very similar, with the only difference being the addition of 'multi'. This type of prefix augmentation is a common typosquatting technique, making the name adversarial. The descriptions are also very similar, suggesting a potential intent to mimic the legitimate package. There is no indication of it being an obvious fork (no username prefix/suffix) or test package. Additionally, it does not have a distinct purpose compared to 'pry-debugger'. The presence of a known maintainer ('steakknife') supports some legitimacy, but the overall similarity in naming and description raises sufficient suspicion that it might be a typosquat. Risk level: High).",pry-debugger
gem,qube_sync,,false_positive,"Possible typosquat of quicksync Explanation: The names 'qube_sync' and 'quicksync' are very similar – differing only by a minor modification – which indicates a potential intentional mimicry. The name modification falls under adversarial patterns such as delimiter modification and slight alternate spelling. There is no obvious fork marker (no user/organization prefix or suffix) so it is not considered a fork. Their descriptions suggest overlapping functionality, and the mimicry makes it less likely they serve distinct purposes. Additionally, the package appears to be used for testing purposes. Although the maintainers appear to be legitimate within the Ruby community, the combination of an adversarial name and test-package usage raises suspicion. A README or detailed description is present (so no_readme is false) and there is no evidence of a relocated package. Therefore, the metrics have been assigned accordingly. Risk level: High).",quicksync
gem,rakutenusa-friendly_id,,false_positive,"Possible `simplification` typosquat of friendly_id Explanation: The package 'rakutenusa-friendly_id' includes a prefix ('rakutenusa') that mimics a known organizational or user namespace, which can confuse users into believing it is a legitimate fork or official version of 'friendly_id'. The similarity in name makes it appear as though it might be intentionally leveraging the reputation of the legitimate package. With a placeholder description (TODO) and no README, there is insufficient indication of a legitimately distinct purpose. Additionally, since there are no known maintainers listed for this package, its intent remains suspicious. Therefore, it is classified as having an adversarial name and is likely a fork meant to mislead users. Risk level: Medium).",friendly_id
gem,rspec-parameterized-core,,typosquat,"Possible typosquat of rspec-parameterized-context Explanation: ‘rspec-parameterized-core’ and ‘rspec-parameterized-context’ differ by only one word, share a long common prefix, and could easily be confused by users installing the wrong package. There is no indication that ‘-core’ is an official fork (no username/org prefix or fork note), and no readme or descriptions are provided to clarify a distinct functionality. Both seem aimed at RSpec parameterization rather than serving a truly separate use case, so we cannot establish a clear distinct purpose. It is not a trivial testing helper package, so is_test is false. The maintainers (sue445, tomykaira, joker1007) are recognized Ruby community contributors. However, the absence of documentation combined with name similarity raises suspicion of impersonation or accidental installs, hence has_suspicious_intent is true. There is no indication of a relocated package. Risk level: High.",rspec-parameterized-context
gem,sbuild,,false_positive,"Possible `1-step D-L dist` typosquat of build Explanation: The package name 'sbuild' is very similar to 'build', with only an additional 's' at the beginning, which could easily confuse users. The description of 'sbuild' is also quite generic and does not clearly differentiate its purpose from 'build'. The maintainer 'cantenesse' is not a widely recognized name in the Ruby community, adding to the suspicion. There is no indication that 'sbuild' is a fork or has a distinct purpose from 'build'.",build
gem,sig,,false_positive,"Possible `prefix/ suffix augmentation` typosquat of sigh Explanation: The package 'sig' is only missing one character from 'sigh', making the names highly similar and likely to deceive users. Based solely on the name, it qualifies as an adversarial name. There is no indication in the package name formatting (such as a username prefix or suffix) to consider it a fork. Although the descriptions of the two packages differ, the strong similarity in naming suggests that 'sig' is likely imitating 'sigh', so it does not have a distinct purpose. The package is not intended for testing purposes and includes a description, so no_readme is false. Additionally, the maintainers of 'sig' are recognized within the Ruby community, which might typically signal legitimate ownership; however, the suspicious similarity in names leads us to flag malicious intent. Since there is no evidence of a known package relocation, is_relocated_package is false. Risk level: High).",sigh
gem,tamalw-crack,,false_positive,"Possible typosquat of cartage-rack Explanation: Although the two packages serve very different purposes—the legitimate 'cartage-rack' is a Rack application plugin for release metadata while 'tamalw-crack' offers simple JSON and XML parsing—the package name 'tamalw-crack' appears to be an adversarial mimic of 'cartage-rack'. The substitution of 'rack' with 'crack' is a minor character change that could be intended to deceive users. Moreover, the naming pattern is deliberately similar and adversarial even though the underlying functionalities are distinct. Due to the high similarity in name and the potential for user confusion, the package is flagged as obvious typosquat (obvious_not_typosquat = false) with an adversarial name and suspicious intent. However, because it lacks explicit fork indicators and its maintainer (jnunemaker) is known in the Ruby community, it is not considered a fork, and the distinct purpose metric is set to false in this context since the mimicry appears intentional rather than a genuine alternate implementation. Risk level: High).",cartage-rack
gem,tushare,,false_positive,"Possible `1-step D-L dist` typosquat of yashare Explanation: The package names 'tushare' and 'yashare' have an edit distance of 2, making them very similar in appearance, likely enough to cause confusion among users. Analyzing the name in isolation suggests an adversarial or deceptive intent (is_adversarial_name is true), even though the package maintainer information appears legitimate and the underlying purposes are distinct (Tushare-Ruby focuses on crawling historical China stocks data while Yashare deals with Yandex Share buttons). There is no indication that 'tushare' is a fork or for testing purposes. However, the close similarity in naming along with the intentional mimicry in spelling creates a suspicious situation (has_suspicious_intent is true), so we do not mark it as an obvious non-typosquat. Risk level: High).",yashare
gem,uber,,false_positive,"Possible typosquat of rubber Explanation: The name ‘uber’ is only two edits away from ‘rubber’ (missing one ‘r’ at the start and one ‘b’), making it potentially confusing. There’s no indication that ‘uber’ is a fork (no username/org qualifier) or that it serves a distinct function (no descriptions or readme to justify purpose). It doesn’t mention testing, and the maintainer is not a recognized Ruby ecosystem figure. The absence of documentation and the close name similarity raise suspicion of typosquatting rather than a legitimate alternative. Risk level: High.",rubber
gem,webspec,,false_positive,"Possible `1-step D-L dist` typosquat of respec Explanation: The package name 'webspec' is very similar to 'respec' with a low edit distance of 2 and uses a name that could deceive users by mimicking the legitimate package. Despite having maintainers known in the community, the similarity in name and the closely related description ('Report rspec results to webspec' vs. 'Rerun failing RSpec examples easily.') suggest adversarial intent rather than an obvious fork. There is no evidence of a distinct purpose or obvious test package intent, and the naming does not include a username that would indicate a fork. Based on just the name similarity and metadata, this package appears to be a typosquat with suspicious intent. Risk level: High).",respec
gem,wepay-rails,,false_positive,Possible typosquat of importmap-rails,importmap-rails
gem,xf,,false_positive,"Possible typosquat of u2f Explanation: The package name 'xf' is similar to 'u2f' but does not have a clear indication of being a fork. The names are close enough to potentially deceive users, making it an adversarial name. The purposes of the packages are distinct, with 'xf' focusing on Enumerable collections and 'u2f' on U2F device handling. The maintainers are known in the community, which adds legitimacy, but the similarity in names raises suspicion.",u2f
gem,yardie,,false_positive,"Possible `1-step D-L dist` typosquat of sadie Explanation: The package 'yardie' differs only by one character from 'sadie', making it very similar and likely to be mistaken as an intentional mimic of the legitimate package. Its name undergoes a minimal 1-step transformation, which is a classic adversarial name tactic. There is no clear evidence that 'yardie' is a fork (no username prefix/suffix) and although its description suggests a middleware purpose ‘pumping runtime data to Construction Yard’, it does not present a distinct purpose compared to the data framework 'sadie'. Furthermore, the suspicious vagueness of its description reinforces its deceptive appearance. Also, the maintainer 'benjii' is accepted as a legitimate maintainer in the Ruby community, and a README appears to exist based on the descriptive text. Overall, these factors contribute to classifying 'yardie' as a package with suspicious intent. Risk level: High).",sadie
golang,github.com/bolt-db/bolt,,typosquat,"Possible `scope confusion` typosquat of github.com/boltdb/bolt Explanation: The package name 'github.com/bolt-db/bolt' is extremely similar to the legitimate 'github.com/boltDb/bolt' (edit distance = 2) and employs a slight alteration (hyphen vs. camel case) that can confuse users. This naming technique falls under adversarial modifications such as delimiter modification and minor spelling differences. Furthermore, the similarity in descriptions indicates that it is not serving a unique purpose and appears to be a fork. There is no evidence of test or security hold intentions, nor does the available metadata imply malicious intent. Thus, while it is clearly a fork and the identical description could hint at deliberate mimicry, additional context from maintainers would be needed, but as is it qualifies as a typosquat/fork based solely on the naming similarity. Risk level: Medium).",github.com/boltdb/bolt
golang,github.com/boltdb-go/bolt,,typosquat,"Possible typosquat of github.com/boltdb/bolt Explanation: The package name 'github.com/boltdb-go/bolt' is very similar to the legitimate 'github.com/BoltDB/bolt' with only minor variations (edit distance 6) and a changed namespace ('boltdb-go' vs 'BoltDB') that mimics the original. While this similarity might be interpreted as a fork, the nearly identical description combined with a namespace that appears designed to resemble the original package makes it likely an intentional impersonation. With no known maintainers associated with the mimicking package and no indication that it is a testing or sanctioned fork, the package name itself is adversarial and its metadata strongly suggests suspicious intent. Risk level: High).",github.com/boltdb/bolt
golang,github.com/dashpay/dashd-go/btcec/v2,,false_positive,"Possible typosquat of github.com/dashevo/dashd-go/btcec/v2 Explanation: The package name 'github.com/dashpay/dashd-go/btcec/v2' is only minimally different from the legitimate 'github.com/dashevo/dashd-go/btcec/v2' (edit distance of 3) and appears to mimic the known package by substituting the organization name. The identical descriptions reinforce that this is not a package with a distinct purpose. Furthermore, despite having a maintainer named 'dashpay', the namespace mimics an established organization ('dashevo'), implying intentional impersonation. These factors make it an adversarial name, likely a fork intended to confuse users. Risk level: High).",github.com/dashevo/dashd-go/btcec/v2
golang,github.com/drelf2020/typego,,false_positive,Possible typosquat of github.com/drelf2018/typego,github.com/drelf2018/typego
golang,github.com/farseer-go/redis,,false_positive,"Possible typosquat of github.com/go-redis/redis Explanation: The package name 'github.com/farseer-go/redis' uses the same terminal component ('redis') as the legitimate package but changes its namespace from 'GO-redis' to 'farseer-go'. Although the edit distance is relatively high (9), the mimicry of the core name in combination with a modified scope creates potential for user confusion. Based solely on the package name, it meets characteristics of an adversarial name. However, the namespace 'farseer-go' appears to be a personal or organizational account, suggesting this may be an obvious fork rather than an intentional typosquat with malicious intent. Without evidence of deceptive metadata or suspicious description content, it does not have malicious intent. Therefore, while the name is adversarial and the package is considered a fork, it does not have a distinct purpose and is not flagged as having suspicious intent. Risk level: Medium).",github.com/go-redis/redis
golang,github.com/githamburg/grafana,,typosquat,"Possible typosquat of github.com/grafana/grafana Explanation: The package name 'github.com/githamburg/grafana' is extremely similar to 'github.com/Grafana/Grafana', differing mainly in the namespace ('githamburg' vs 'Grafana') and using a slight alteration in letters that can easily confuse users. Its namespace appears to mimic a known organization, making it an adversarial name, and because it is under a different user ('GitHamburg') rather than the official 'Grafana' organization, this namespacing indicates it is presented as a fork, despite possibly being a derivative. The similarity in names does not indicate a distinct purpose and there is no indication that it is meant for testing. Additionally, due to the absence/emptiness of a README or description, the no_readme flag is set to true. Overall, the similarity and adversarial naming suggest suspicious intent. Risk level: Medium).",github.com/grafana/grafana
golang,github.com/go-emmanuel/csrf,,typosquat,"Possible typosquat of github.com/go-macaron/csrf Explanation: The package name 'github.com/go-emmanuel/csrf' is very similar to 'github.com/go-macaron/csrf', differing only by the namespace which replaces 'macaron' with 'emmanuel'. This close resemblance, despite an edit distance of 7, appears to mimic the legitimate package with minimal changes, satisfying the criteria of an adversarial name. The obvious substitution in the namespace along with the similar functionality described (CSRF token generation and validation) and the indication in the description that it is tailored for 'Emmanuel' (mirroring the legitimate package for 'Macaron') strongly suggest that it is a fork designed to replicate the legitimate package. Further, the similar metadata and absence of distinct functionality indicate suspicious intent. Therefore, obvious_not_typosquat is set to false, is_adversarial_name is true, is_fork is true, and has_suspicious_intent is true, while it is not considered to have a distinct purpose, be a testing package, or maintained by known legitimate maintainers. Risk level: High).",github.com/go-macaron/csrf
golang,github.com/go-faster/errors,,false_positive,"Possible typosquat of github.com/go-errors/errors Explanation: The package names 'go-faster/errors' and 'go-errors/errors' are extremely similar, differing only in the segment after 'go-'. This similarity can confuse users, and the substitution of 'faster' in place of 'errors' appears to be an intentional mimic. Although the descriptions of both packages are very similar and both provide error functionalities with stack traces, the mimicry in naming suggests that the package may be designed to impersonate the legitimate one. The fact that 'go-faster' is used as a namespace does not clearly establish a fork relation, and while it has a maintained identity, it is not recognized as a known maintainer of the original 'go-errors' package. Thus, the package does not have a distinct purpose and the similarity in naming raises suspicions, leading to a decision that it is an adversarial and suspicious package. Risk level: High).",github.com/go-errors/errors
golang,github.com/gopyplus/xorm,,typosquat,"Possible typosquat of github.com/xormplus/xorm Explanation: The package name 'github.com/gopyplus/xorm' differs from 'github.com/xormplus/xorm' by a small edit distance (3), where the namespace appears to mimic the legitimate package by slightly modifying the original namespace. Despite similar functionality reflected in the description, the intentional change in the namespace coupled with near identical focus suggests that this version is likely an obvious fork that may be designed to confuse users. Furthermore, the similarity in metadata and the choice of namespace raise concerns about adversarial intent. There is no indication that this is a test package or a fork created under a known maintainer, and the description does not differentiate a distinct purpose; rather it mirrors that of 'github.com/xormplus/xorm'. Risk level: High).",github.com/xormplus/xorm
golang,github.com/go-slash/captcha,,false_positive,"Possible typosquat of github.com/go-macaron/captcha Explanation: The package name 'github.com/go-slash/captcha' is very similar to 'github.com/go-macaron/captcha' (edit distance of 6) and employs a modified namespace ('go-slash' versus 'go-macaron') that mimics the legit package, making it an adversarial name designed to potentially confuse users. The modification in namespace suggests that it is an intentional fork, not offering distinct functionality from the original package. Although its description is detailed, the overall naming mimicry and similarity to the legitimate package raise suspicious concerns about its intent. Risk level: High).",github.com/go-macaron/captcha
golang,github.com/go-zoox/errors,,false_positive,"Possible typosquat of github.com/go-errors/errors Explanation: The package name 'github.com/go-zoox/errors' is very similar to 'github.com/go-errors/errors' with an edit distance of 5, which is within the range of minor character changes that can confuse users. The use of the 'go-zoox' namespace appears to mimic the well‐known 'go-errors' but belongs to a different organization, fulfilling criteria for scope confusion and adversarial naming. Moreover, the fact that it appears as a fork (as indicated by its name) without clear evidence of a distinct purpose raises additional suspicion. The absence of a proper description or README reinforces doubts, and having a different maintainer ('go-zoox') from the legitimate package further detracts from its legitimacy. Taken together, these factors indicate potential typosquatting with malicious intent. Risk level: High).",github.com/go-errors/errors
golang,github.com/go-zoox/i18n,,false_positive,"Possible typosquat of github.com/go-macaron/i18n Explanation: The package name 'github.com/go-zoox/i18n' is highly similar to the legitimate 'github.com/go-macaron/i18n' based solely on the name, which has an edit distance of 6 and uses a contrasting namespace (go-zoox vs go-macaron). This raises the possibility of intentional mimicry designed to deceive users. Additionally, as the package name includes a username ('go-zoox'), it is treated as a fork, but the similarity in name without clear differentiation of purpose makes it highly suspicious. With minimal descriptive metadata provided for the suspect package, the resemblance suggests an adversarial intent. Risk level: High).",github.com/go-macaron/i18n
golang,github.com/hstable/beego,,typosquat,"Possible typosquat of github.com/astaxie/beego Explanation: The package name 'github.com/hstable/beego' is very similar to 'github.com/astaxIE/beego' with an edit distance of 4, which can potentially mislead users (adversarial name). However, the presence of the user/organization part ('hstable') in the name indicates that it is treated as a fork of the original package. Moreover, the description is identical to that of the legitimate package and does not indicate any distinct purpose or malicious intent. Therefore, while the name similarity makes it adversarial, the context points to it being a fork rather than a typosquat with suspicious intent. Risk level: Medium).",github.com/astaxie/beego
golang,github.com/ipld/go-car,,false_positive,Possible typosquat of github.com/ipfs/go-car,github.com/ipfs/go-car
golang,github.com/jaerk/kernal,,false_positive,"Possible `scope confusion` typosquat of github.com/jacrk/kernal Explanation: The package names 'github.com/jaerk/kernal' and 'github.com/jacrk/kernal' are very similar, differing by only one character, which is a common pattern in typosquatting. There is no description provided for either package, making it difficult to determine distinct purposes or intentions. The maintainer 'jaerk' does not appear to be a known entity in the Golang community, increasing the suspicion. The lack of additional context or namespace information further supports the potential for typosquatting.",github.com/jacrk/kernal
golang,github.com/khulnasoft-labs/fastdialer,,false_positive,Possible typosquat of github.com/khulnasoft-lab/fastdialer,github.com/khulnasoft-lab/fastdialer
golang,github.com/kotyi/kernal,,false_positive,"Possible typosquat of github.com/kotdy/kernal Explanation: The package names 'github.com/kotyi/kernal' and 'github.com/kotdy/kernal' differ by a single character in the namespace, which is a common pattern for typosquatting. Both packages lack descriptions, making it difficult to determine distinct purposes or intentions. The maintainer 'kotyi' does not provide enough information to confirm legitimacy. Therefore, it appears suspicious.",github.com/kotdy/kernal
golang,github.com/lilwulin/raft,,false_positive,"Possible typosquat of github.com/seaweedfs/raft Explanation: The package 'github.com/lilwulin/raft' shares the same repository name ('raft') as the legitimate 'github.com/seaweedfs/raft' and uses a different namespace that does not correspond to any known variation or an obvious distinct project purpose. The similarity in the repo names and potential confusion in namespace (with a personal github account 'lilwulin') indicates that it may be mimicking the established package. This, together with the absence of description/README content, leads to the assessment that it is intended as an adversarial/fork package with suspicious intent. Risk level: Medium).",github.com/seaweedfs/raft
golang,github.com/ljinf/log,,false_positive,"Possible typosquat of github.com/lunny/log Explanation: The package name 'github.com/ljinf/log' uses minor variations compared to 'github.com/lunny/Log' (edit distance of 4) and the namespace appears to be chosen to mimic the legitimate package while belonging to a different user. Although the package name structure might normally suggest a fork if it were from the same author, the fact that the usernames differ (ljinf versus lunny) indicates intentional mimicry rather than a typical fork. There is no indication from the metadata that the package serves a distinct purpose or is for testing, and with a suspiciously similar name it raises potential for user confusion, meeting criteria for an adversarial name and suspicious intent. Risk level: High).",github.com/lunny/log
golang,github.com/lxmgo/beego,,typosquat,"Possible typosquat of github.com/beego/beego Explanation: The package github.com/lxmgo/beego uses a different namespace ('lxmgo') to access a package whose name and description are nearly identical to the legitimate github.com/beego/BEEGO. Despite the edit distance being moderate, the namespace modification and near-mirroring of metadata suggest that it is intended to mimic the original, making it an adversarial name. Additionally, since it appears to be a fork with no clearly distinct purpose and lacks evidence of being maintained by the original team, it raises suspicion of typosquatting intent. Risk level: High).",github.com/beego/beego
golang,github.com/mattn/color,,typosquat,"Possible typosquat of github.com/fatih/color Explanation: The package name 'github.com/mattn/color' is very similar to 'github.com/Fatih/Color' with an edit distance of 4 and a structure that mimics the legitimate package. The namespace (mattn vs Fatih) appears to be a personal user namespace rather than a clearly distinct organizational namespace. Additionally, the description of the questionable package is nearly identical to that of the legitimate one. Taken together, these factors indicate that the package is an obvious fork (or mimic) intended to confuse users, and its adversarial naming gives it a suspicious intent. Risk level: High).",github.com/fatih/color
golang,github.com/open4go/rest,,false_positive,"Possible typosquat of github.com/go-pkgz/rest Explanation: The package name 'github.com/open4go/rest' is quite similar in structure to 'github.com/go-pkgz/rest' (with an edit distance of 6), and the namespace 'open4go' appears to be chosen in a way that could confuse users about its affiliation. Although it does not explicitly mark itself as a fork (no username or indicator of being an offshoot) and no description details indicate a test or distinct alternate functionality, the close similarity in naming and potential for user confusion make it an adversarial name with suspicious intent. The maintainers being solely 'open4go' does not align with the known identity behind 'go-pkgz', which further increases the likelihood that this is intended as a deceptive mimic rather than a legitimate fork. Risk level: High).",github.com/go-pkgz/rest
golang,github.com/pion/webrtc/v3,,typosquat,"Possible typosquat of github.com/pions/webrtc Explanation: The package name 'github.com/pion/webRTC/v3' is extremely similar to 'github.com/pions/webrtc' – the only differences being a minor omission/addition ('pion' vs 'pions'), capitalization differences, and an appended '/v3'. Such variations fall under common adversarial techniques including minor character modifications and delimiter augmentation that could easily confuse users. Furthermore, although the '/v3' suffix might hint at a fork or version evolution, the absence of any known maintainers coupled with the identical scope and lack of distinct purpose compared to the legitimate package makes it likely that this was intentionally designed to mimic and mislead. Based solely on the package name analysis, this package is considered to have suspicious intent. Risk level: High).",github.com/pions/webrtc
golang,github.com/sedx/svgo,,false_positive,"Possible typosquat of github.com/svg/svgo Explanation: The package name 'github.com/sedx/svgo' is extremely similar to 'github.com/svg/svgo' with an edit distance of 3, suggesting an intentional mimic. The similarity in naming, along with the use of a namespace (sedx) that appears to be a slight modification of the legitimate package's namespace (svg), makes it adversarial. Its content (description) is nearly identical in purpose to that of the legitimate package, supporting the view that it is essentially a fork rather than a distinct project. There is no indication of it being a test package and although it includes a README, the maintainers do not match known maintainers of the legitimate package. These factors combined indicate that the package is suspicious with typosquatting intent. Risk level: High).",github.com/svg/svgo
golang,github.com/shopsprint/decimal,,typosquat,"Possible `scope confusion` typosquat of github.com/shopspring/decimal Explanation: The package 'github.com/shopsprint/decimal' differs from 'github.com/ShopSpring/decimal' by only a few characters (edit distance of 3) and the namespace (shopsprint vs ShopSpring) appears to closely mimic the legitimate organization, making it potentially confusing to users. In addition, the description is nearly identical to the legitimate package, with no indication of a distinct functionality. Although the maintainers listed for the suspicious package are 'shopsprint', the similarity in naming and description points to an intentional mimic/fork intended to deceive. All these factors indicate that the package name is adversarial and that the package has suspicious intent. Risk level: High).",github.com/shopspring/decimal
golang,github.com/sofa-security/trivy,,typosquat,"Possible typosquat of github.com/aquasecurity/trivy Explanation: The package 'github.com/sofa-security/trivy' has a name that is strikingly similar to 'github.com/aquasecurity/trivy', differing only by the organization prefix ('sofa-security' vs 'aquasecurity'). This similarity is likely to deceive users, hence it is considered an adversarial name. Furthermore, since both packages use the same core name 'trivy' and seem to target the same functionality, they do not serve a distinct purpose. The naming pattern (using an organization name) does not clearly indicate a fork, but rather an attempt to mimic the legitimate package. The lack of README or description information further raises suspicion regarding its intent. Also, no known maintainers are associated with the suspicious package. Therefore, overall, the metrics indicate potential typosquatting and adversarial behavior. Risk level: High).",github.com/aquasecurity/trivy
golang,github.com/spfl13/cobra,,typosquat,"Possible `scope confusion` typosquat of github.com/spf13/cobra Explanation: The package name 'github.com/spfl13/cobra' is only a two-character edit distance away from the legitimate 'github.com/spf13/Cobra', which makes it highly similar and potentially confusing. The minor difference in the namespace (spfl13 vs spf13) appears to be an intentional mimic designed to deceive users. Although the descriptions of both packages are identical, the deliberate name alteration and mismatched maintainer (spfl13 as opposed to the known spf13) suggest adversarial intent rather than a genuine fork. There is no indication of distinct functionality or a testing purpose, reinforcing that the suspicious package is likely a typosquat with malicious intent. Risk level: High).",github.com/spf13/cobra
